claim_id,customer_id,claim_date,claim_amount,incident_type,document_status,approval_status,processing_time
1,5244,2024-02-10,9512.99,Natural Disaster,Complete,Approved,48
2,1336,2023-05-29,19876.37,Vandalism,Pending,Rejected,31
3,2271,2023-07-29,2081.93,Natural Disaster,Pending,Under Review,72
4,9430,2023-09-16,9135.9,Fire,Complete,Under Review,53
5,2684,2024-05-12,12680.85,Theft,Pending,Rejected,44
6,6818,2023-07-18,17490.47,Vandalism,Pending,Approved,23
7,6504,2024-01-21,2499.11,Theft,Complete,Under Review,61
8,5769,2023-10-01,17455.0,Fire,Pending,Under Review,82
9,9877,2024-05-28,17296.36,Theft,Incomplete,Approved,3
10,4038,2024-09-13,10127.2,Theft,Complete,Under Review,61
11,2111,2024-04-04,2043.9,Accident,Pending,Approved,60
12,9457,2023-07-14,7459.2,Natural Disaster,Pending,Under Review,20
13,4342,2022-10-07,8781.12,Vandalism,Complete,Under Review,2
14,1651,2023-05-04,16346.46,Theft,Incomplete,Approved,65
15,6010,2023-05-18,10429.32,Natural Disaster,Incomplete,Approved,66
16,2923,2024-01-10,15504.45,Theft,Incomplete,Under Review,12
17,5705,2023-07-19,8156.99,Fire,Incomplete,Approved,21
18,7221,2023-05-16,8193.89,Vandalism,Incomplete,Rejected,72
19,9568,2022-11-29,9631.45,Accident,Incomplete,Rejected,42
20,7337,2024-03-20,815.61,Theft,Pending,Rejected,32
21,3047,2022-10-31,1073.24,Theft,Complete,Under Review,45
22,3609,2023-12-03,16342.95,Fire,Complete,Under Review,38
23,6589,2023-03-28,4814.13,Fire,Pending,Rejected,64
24,5405,2023-08-03,14850.83,Fire,Incomplete,Rejected,1
25,3552,2024-08-23,18900.37,Accident,Complete,Rejected,46
26,9803,2023-05-09,5649.88,Fire,Pending,Approved,20
27,7930,2022-10-24,11841.55,Vandalism,Pending,Rejected,85
28,3731,2024-07-24,16347.22,Theft,Incomplete,Rejected,21
29,9381,2024-07-19,4292.3,Fire,Pending,Under Review,44
30,5287,2023-03-27,17382.47,Accident,Pending,Under Review,79
31,4589,2023-04-15,3564.51,Natural Disaster,Pending,Rejected,5
32,2521,2023-03-27,19822.0,Accident,Pending,Approved,68
33,3254,2023-04-19,1082.5,Natural Disaster,Incomplete,Approved,42
34,7565,2024-05-03,9770.05,Fire,Incomplete,Approved,2
35,9717,2023-05-28,12914.63,Fire,Pending,Under Review,33
36,9336,2023-09-29,11418.14,Natural Disaster,Complete,Under Review,1
37,7470,2024-04-10,9118.56,Accident,Complete,Rejected,48
38,9784,2024-03-28,9505.05,Natural Disaster,Complete,Under Review,39
39,5825,2024-07-28,17064.31,Accident,Incomplete,Rejected,63
40,3618,2024-02-25,11165.86,Fire,Complete,Under Review,72
41,3375,2022-11-16,16017.42,Accident,Complete,Under Review,65
42,6079,2024-08-19,3950.45,Vandalism,Pending,Rejected,38
43,8916,2024-04-19,8958.48,Theft,Pending,Approved,71
44,9606,2024-05-02,833.82,Theft,Incomplete,Rejected,69
45,1532,2024-06-12,10555.15,Accident,Incomplete,Approved,55
46,5369,2023-12-31,5365.96,Vandalism,Incomplete,Approved,25
47,1837,2024-07-06,6890.7,Fire,Complete,Rejected,1
48,1466,2023-07-17,10888.39,Fire,Complete,Approved,88
49,7308,2023-01-07,11315.58,Accident,Pending,Approved,20
50,8714,2023-07-16,18448.07,Natural Disaster,Incomplete,Approved,62
51,9689,2022-11-08,12994.29,Accident,Complete,Rejected,44
52,8660,2022-11-22,11926.86,Fire,Pending,Under Review,44
53,8636,2022-11-26,1843.96,Accident,Incomplete,Rejected,49
54,8247,2023-08-08,4995.57,Vandalism,Pending,Rejected,51
55,2912,2023-11-14,18804.9,Accident,Incomplete,Rejected,87
56,6865,2024-02-27,10622.46,Fire,Pending,Rejected,35
57,5666,2024-04-03,13722.37,Accident,Pending,Under Review,72
58,4679,2024-02-20,15016.25,Accident,Pending,Rejected,23
59,9040,2022-09-27,15383.22,Fire,Pending,Rejected,78
60,9119,2024-07-17,15910.73,Accident,Complete,Rejected,73
61,4651,2023-02-09,18287.09,Fire,Complete,Under Review,79
62,7082,2024-01-24,2501.95,Vandalism,Incomplete,Rejected,31
63,3900,2023-05-12,9298.79,Accident,Pending,Rejected,70
64,7276,2024-04-15,16207.59,Vandalism,Pending,Rejected,84
65,7959,2023-03-11,15820.15,Natural Disaster,Pending,Under Review,12
66,5927,2023-12-25,19572.08,Accident,Complete,Rejected,24
67,1576,2023-02-04,2380.08,Vandalism,Complete,Rejected,85
68,4599,2023-01-04,18617.61,Natural Disaster,Pending,Rejected,86
69,7646,2023-05-15,17828.64,Fire,Pending,Approved,13
70,8380,2023-11-06,4979.18,Accident,Incomplete,Approved,8
71,4360,2023-07-04,6249.52,Accident,Pending,Approved,65
72,5636,2023-04-27,6402.82,Fire,Incomplete,Approved,51
73,6153,2023-09-16,3209.84,Fire,Complete,Approved,67
74,8810,2024-08-18,14950.6,Theft,Pending,Rejected,18
75,3657,2024-09-08,3948.88,Accident,Complete,Under Review,86
76,2858,2024-05-06,18024.08,Theft,Pending,Under Review,40
77,2280,2022-10-05,7828.34,Theft,Complete,Approved,85
78,7118,2023-06-09,12102.47,Fire,Pending,Rejected,56
79,6890,2024-02-13,15362.68,Fire,Pending,Under Review,82
80,3918,2023-10-14,16824.98,Fire,Incomplete,Under Review,22
81,8529,2022-10-12,18988.8,Vandalism,Pending,Rejected,88
82,9680,2024-07-03,13878.53,Theft,Pending,Rejected,18
83,1249,2024-09-05,18789.36,Fire,Pending,Rejected,20
84,4990,2023-02-05,1293.38,Accident,Pending,Under Review,24
85,8468,2023-09-12,6705.58,Natural Disaster,Incomplete,Under Review,75
86,6864,2022-10-11,11766.42,Fire,Incomplete,Under Review,44
87,1399,2024-07-08,6469.44,Vandalism,Complete,Under Review,43
88,7344,2023-09-06,1581.51,Fire,Pending,Approved,44
