customer_id,age,gender,purchase_history,average_spend,loyalty_score,preferred_channel,engagement_score,canton
1,48,Male,Electronics,411,33,Store,31,Lugano
2,65,Female,Fashion,168,72,Online,42,Zürich
3,23,Female,Travel,629,46,Store,81,Lugano
4,39,Female,Fashion,472,3,Store,18,Basel
5,20,Male,Electronics,719,22,Online,84,Basel
6,54,Female,Electronics,926,10,Online,69,Zürich
7,24,Female,Fashion,662,90,Store,67,Lausanne
8,33,Female,Fashion,912,10,Online,89,Zürich
9,41,Female,Travel,158,44,Online,97,Bern
10,51,Male,Fashion,213,64,Store,57,Geneva
11,69,Male,Electronics,835,35,Store,56,Lugano
12,46,Male,Electronics,734,89,Store,35,Lausanne
13,66,Male,Travel,330,100,Store,96,Geneva
14,22,Female,Fashion,793,84,Online,58,Lugano
15,57,Male,Travel,905,84,Online,72,Basel
16,25,Male,Grocery,856,92,Store,17,Basel
17,49,Male,Grocery,533,31,Online,44,Geneva
18,25,Male,Electronics,427,20,Online,96,Geneva
19,22,Female,Electronics,790,74,Online,14,Zürich
20,30,Female,Travel,839,35,Store,2,Lugano
21,46,Female,Electronics,166,67,Online,72,Basel
22,70,Female,Fashion,201,42,Store,54,Zürich
23,49,Female,Travel,223,70,Store,84,Lausanne
24,40,Female,Grocery,813,99,Store,89,Zürich
25,46,Female,Travel,301,94,Online,91,Bern
26,47,Male,Fashion,425,88,Store,27,Bern
27,37,Female,Fashion,536,15,Store,77,Lugano
28,70,Male,Travel,870,65,Store,93,Basel
29,48,Female,Travel,835,27,Store,83,Bern
30,36,Male,Travel,973,41,Online,93,Basel
31,40,Male,Grocery,769,43,Online,42,Bern
32,25,Female,Electronics,260,86,Online,24,Lausanne
33,62,Male,Fashion,834,35,Online,31,Lugano
34,68,Male,Travel,923,29,Store,60,Lausanne
35,45,Female,Grocery,134,86,Store,42,Lausanne
36,38,Male,Travel,514,65,Store,3,Bern
37,52,Male,Fashion,432,48,Store,76,Lugano
38,36,Female,Fashion,617,22,Store,47,Bern
39,53,Female,Grocery,680,67,Store,22,Bern
40,46,Male,Electronics,878,56,Online,44,Zürich
41,66,Male,Grocery,388,98,Store,26,Geneva
42,42,Female,Fashion,124,67,Online,34,Basel
43,65,Female,Grocery,446,42,Store,100,Geneva
44,26,Female,Grocery,980,98,Online,35,Lugano
45,25,Female,Fashion,498,42,Store,44,Lugano
46,47,Female,Fashion,560,81,Store,62,Bern
47,46,Female,Fashion,650,75,Store,72,Lausanne
48,52,Male,Travel,352,47,Online,23,Zürich
49,35,Male,Grocery,687,96,Online,55,Lugano
50,38,Male,Grocery,209,88,Online,33,Zürich
51,43,Male,Travel,340,78,Online,7,Bern
52,43,Male,Travel,396,9,Online,29,Zürich
53,35,Male,Fashion,363,13,Online,56,Lugano
54,51,Male,Electronics,490,49,Online,76,Lausanne
55,44,Female,Travel,503,55,Store,89,Geneva
56,52,Female,Fashion,391,69,Online,47,Zürich
57,37,Male,Grocery,386,60,Online,35,Lausanne
58,21,Male,Travel,522,52,Online,17,Bern
59,64,Female,Grocery,828,22,Store,96,Lausanne
60,67,Male,Fashion,457,51,Online,69,Lugano
61,45,Male,Electronics,604,72,Store,59,Bern
62,35,Female,Electronics,796,21,Store,80,Basel
63,43,Male,Grocery,443,86,Store,48,Bern
64,21,Female,Grocery,707,75,Store,7,Geneva
65,18,Female,Electronics,663,46,Store,73,Basel
66,35,Male,Travel,848,48,Online,1,Geneva
67,24,Male,Electronics,752,48,Store,25,Bern
68,52,Female,Electronics,501,0,Store,73,Lugano
69,22,Male,Fashion,859,51,Store,29,Lugano
70,33,Male,Travel,180,56,Store,74,Basel
71,37,Female,Fashion,234,48,Online,57,Lausanne
72,36,Female,Travel,699,19,Store,15,Geneva
73,68,Male,Grocery,319,77,Store,96,Lugano
74,68,Female,Fashion,438,67,Online,68,Lugano
75,55,Female,Fashion,412,59,Online,40,Bern
76,19,Female,Travel,953,11,Store,35,Basel
77,61,Female,Travel,705,90,Online,83,Geneva
78,45,Female,Grocery,432,92,Online,60,Lausanne
79,25,Male,Travel,876,49,Online,29,Basel
80,20,Female,Travel,127,30,Store,37,Basel
81,20,Male,Fashion,176,20,Online,70,Bern
82,64,Female,Grocery,131,19,Online,30,Lugano
83,47,Male,Travel,320,49,Store,46,Geneva
84,57,Male,Travel,630,49,Online,79,Basel
85,42,Male,Fashion,508,48,Store,91,Basel
86,52,Male,Electronics,326,72,Store,3,Zürich
87,29,Male,Fashion,739,28,Store,51,Geneva
88,46,Female,Grocery,102,8,Store,82,Lausanne
89,37,Female,Fashion,730,83,Store,87,Lugano
90,57,Female,Fashion,121,35,Online,21,Lausanne
91,66,Female,Travel,166,84,Store,68,Geneva
92,36,Male,Fashion,981,39,Store,47,Lugano
93,44,Male,Fashion,160,76,Store,59,Bern
94,35,Male,Grocery,151,68,Store,74,Lausanne
95,29,Male,Fashion,992,87,Store,30,Lausanne
96,70,Female,Fashion,705,9,Online,46,Basel
97,45,Male,Fashion,314,80,Online,4,Lugano
98,46,Male,Grocery,234,59,Online,61,Lausanne
99,23,Female,Travel,376,58,Store,57,Bern
100,61,Male,Fashion,718,38,Online,76,Basel
101,64,Female,Travel,880,12,Store,63,Basel
102,70,Female,Travel,863,71,Store,51,Basel
103,62,Male,Grocery,605,84,Online,88,Geneva
104,37,Female,Travel,668,5,Online,60,Lugano
105,68,Female,Fashion,393,64,Store,3,Geneva
106,56,Male,Grocery,481,22,Online,82,Lausanne
107,44,Female,Fashion,144,33,Online,76,Zürich
108,59,Male,Travel,660,48,Store,93,Geneva
109,56,Female,Fashion,919,85,Online,79,Lugano
