feedback_id,customer_id,feedback_text,timestamp,source,sentiment_label
1,9120,"Everything was perfect, will use again.",2023-08-25 16:47:41,web,positive
2,6635,"Not too bad, but could be better.",2024-03-26 14:01:58,web,neutral
3,3257,"Fast and reliable, well done!",2024-09-06 21:51:13,mobile,positive
4,5520,"Service was fine, but not impressive.",2023-09-11 07:49:57,mobile,neutral
5,5655,The product was defective upon arrival.,2023-05-31 14:18:13,mobile,negative
6,8968,"Great experience, highly recommend.",2024-07-16 12:27:24,web,positive
7,3342,"Terrible experience, very disappointed.",2023-12-18 20:37:11,email,negative
8,6953,"Great experience, highly recommend.",2023-07-21 23:03:42,mobile,positive
9,1066,"Extremely poor quality, not worth the price.",2023-02-28 15:46:48,email,negative
10,3950,"Service was fine, but not impressive.",2023-11-04 09:49:52,email,neutral
11,1351,Very satisfied with the product quality.,2024-07-10 14:04:17,mobile,positive
12,1572,"Everything was perfect, will use again.",2024-03-12 16:19:41,email,positive
13,5474,The service was outstanding!,2024-02-15 01:13:54,web,positive
14,5740,Very satisfied with the product quality.,2023-04-23 06:25:36,email,positive
15,9744,"Terrible experience, very disappointed.",2024-08-26 06:00:07,web,negative
16,9048,Customer service was rude.,2023-01-25 01:42:18,mobile,negative
17,2827,"Terrible experience, very disappointed.",2023-04-28 08:23:26,mobile,negative
18,4900,"Fast and reliable, well done!",2023-07-23 15:50:42,web,positive
19,6736,The service was outstanding!,2023-10-24 23:54:51,web,positive
20,3539,"Everything was perfect, will use again.",2023-07-07 15:18:28,email,positive
21,6005,"Terrible experience, very disappointed.",2024-01-19 09:28:27,mobile,negative
22,7520,"Not too bad, but could be better.",2023-09-20 07:26:57,web,neutral
23,1602,"Service was fine, but not impressive.",2024-04-22 21:36:42,email,neutral
24,2370,The product was defective upon arrival.,2024-06-26 10:09:01,web,negative
25,3976,Average experience overall.,2023-06-05 20:07:39,mobile,neutral
26,6369,"Fast and reliable, well done!",2024-06-22 10:24:34,web,positive
27,1991,"Not too bad, but could be better.",2023-06-15 02:32:56,mobile,neutral
28,2756,"Everything was perfect, will use again.",2023-10-04 09:15:21,web,positive
29,8302,The service was outstanding!,2024-04-24 02:14:29,email,positive
30,2802,"Terrible experience, very disappointed.",2023-10-01 05:52:15,email,negative
31,9194,Customer service was rude.,2023-09-06 11:12:15,mobile,negative
32,6922,I wouldn't recommend this to anyone.,2023-08-11 08:12:13,web,negative
33,2296,"It was okay, nothing special.",2023-12-04 21:14:55,email,neutral
34,9282,"Extremely poor quality, not worth the price.",2023-09-10 05:55:09,web,negative
35,4769,"Service was fine, but not impressive.",2023-01-23 22:06:59,web,neutral
36,7760,"Not too bad, but could be better.",2024-01-30 18:35:39,mobile,neutral
37,7581,The service was outstanding!,2024-07-01 09:47:09,web,positive
38,4371,"Everything was perfect, will use again.",2024-01-15 02:59:08,mobile,positive
39,6280,"Extremely poor quality, not worth the price.",2023-01-23 04:33:46,mobile,negative
40,5242,"Fast and reliable, well done!",2023-10-28 01:35:28,mobile,positive
41,9683,The service was outstanding!,2023-03-25 09:17:28,web,positive
42,9862,The product was defective upon arrival.,2023-09-04 01:59:47,web,negative
43,8850,"Great experience, highly recommend.",2023-03-10 22:08:24,mobile,positive
44,2246,Very satisfied with the product quality.,2024-04-26 21:11:37,web,positive
45,4590,"Fast and reliable, well done!",2023-01-03 18:41:53,email,positive
46,2461,Customer service was rude.,2024-07-19 11:02:16,mobile,negative
47,1860,"Great experience, highly recommend.",2024-07-15 22:59:03,mobile,positive
48,8427,"Extremely poor quality, not worth the price.",2023-02-09 06:16:28,email,negative
49,3720,Average experience overall.,2024-09-21 01:36:12,mobile,neutral
50,9343,The product works as expected.,2023-07-31 22:09:26,web,neutral
51,8204,Very satisfied with the product quality.,2023-09-29 01:06:32,mobile,positive
52,3211,"Everything was perfect, will use again.",2023-01-07 06:34:04,mobile,positive
53,6673,Average experience overall.,2023-09-08 12:31:00,mobile,neutral
54,1223,The service was outstanding!,2024-01-19 15:56:25,web,positive
55,8089,The product works as expected.,2024-02-08 05:04:41,mobile,neutral
56,9177,"Great experience, highly recommend.",2024-08-28 01:22:33,web,positive
57,9710,Average experience overall.,2024-07-01 08:30:14,mobile,neutral
58,6208,"Not too bad, but could be better.",2023-06-19 10:19:56,email,neutral
