date,store_id,product_id,units_sold,revenue,discount_rate,holiday_flag,weather_condition,advertisement_spend,season
2023-08-14,ST20,P39,33,1230.6583823769095,0.09217229099241059,1,Sunny,3336.462376250481,Summer
2023-11-23,ST2,P59,37,2405.3552735312282,0.1843702009719803,0,Sunny,5499.659524066125,Fall
2023-06-05,ST6,P86,30,1230.4767434684557,0.04737248161327737,0,Snowy,4963.5683638072405,Summer
2023-05-28,ST1,P5,29,512.599501668185,0.1834565364747244,1,Cloudy,2794.355758037289,Spring
2023-02-20,ST5,P73,26,3016.616803567144,0.1211981776301848,0,Sunny,4763.213689813895,Winter
2023-09-22,ST17,P63,20,1144.7197017658705,0.030956302805196814,0,Rainy,5734.374455438348,Fall
2022-08-04,ST15,P38,36,563.6514679991817,0.04698221937090894,0,Snowy,3652.4760197990754,Summer
2023-07-25,ST19,P95,28,2930.9977512609794,0.31078694205863516,1,Rainy,5256.8549639076555,Summer
2022-06-25,ST8,P28,36,2871.530181364873,0.3497538752943407,0,Snowy,1348.7658303104993,Summer
2022-01-09,ST5,P12,30,2264.4555627650416,0.39219258745329094,1,Snowy,1225.3770319288299,Winter
2023-02-18,ST13,P20,35,2835.3209073649236,0.3931137549960051,0,Sunny,5889.208657178025,Winter
2022-10-06,ST20,P44,27,2969.0145951283225,0.29703841709668594,1,Rainy,4480.680510831194,Fall
2022-11-29,ST6,P76,36,2098.567421772015,0.23493034805238305,0,Rainy,4247.945403671403,Fall
2023-04-23,ST7,P58,20,487.7371688665771,0.3747727314307363,1,Snowy,667.1639941965227,Spring
2022-10-14,ST7,P41,40,4798.064681498065,0.3517859480941272,1,Rainy,1887.7637123366535,Fall
2022-06-06,ST2,P100,24,821.3018294565304,0.1681661776560251,1,Sunny,1246.9663015530732,Summer
2022-11-11,ST12,P45,26,2405.33925058102,0.28356220550957434,0,Cloudy,2198.06371603403,Fall
2022-09-11,ST16,P76,31,3706.3735686656437,0.3141671791336662,1,Snowy,2293.950188528323,Fall
2022-02-20,ST3,P57,34,3787.856913369196,0.043284586472690956,1,Rainy,1501.0040652218668,Winter
2022-11-09,ST12,P82,28,2388.2876979048992,0.3935098778356713,0,Cloudy,4393.082472976718,Fall
2023-07-07,ST3,P98,29,2568.390969270221,0.1898292229636371,1,Snowy,1993.2647825624576,Summer
2022-12-27,ST8,P24,22,2062.1407494361433,0.25361532744567833,1,Sunny,5484.163046155986,Winter
2023-12-14,ST5,P49,28,1808.3876929143685,0.011101307850417897,1,Rainy,3285.8597020248385,Winter
2023-02-07,ST17,P5,31,1993.9543736346031,0.08612819467481701,0,Cloudy,4362.155032096456,Winter
2023-06-13,ST4,P90,34,2921.250409218346,0.0033651966637636924,1,Snowy,2855.1752634459554,Summer
2023-04-09,ST18,P26,30,1043.5130817996146,0.18337648124383935,0,Sunny,3357.031698461991,Spring
2022-07-07,ST9,P91,39,3944.6752190158813,0.2403985477087538,1,Snowy,2646.5094034642966,Summer
2022-11-21,ST8,P74,23,2143.488386733271,0.13339382088872762,0,Sunny,2154.170167832122,Fall
2023-11-26,ST2,P13,31,1018.2701340598198,0.08099526119621886,1,Cloudy,5387.69896990899,Fall
2022-04-23,ST13,P3,41,4153.290706670967,0.0538786362755896,1,Sunny,543.0455179771216,Spring
2022-09-23,ST2,P12,33,3223.459599755179,0.16028410642704408,1,Sunny,3613.277775016175,Fall
2022-04-15,ST3,P75,23,1460.2651905251353,0.39723224985710726,0,Sunny,3961.1382160932712,Spring
2022-03-16,ST14,P71,26,2180.4277743011044,0.005982006664175277,0,Snowy,1946.7567584540952,Spring
2022-05-27,ST11,P77,29,1713.5205258571552,0.27200471227938666,1,Rainy,5423.020994540414,Spring
2023-07-09,ST10,P11,32,601.1179845901347,0.3282996082189849,1,Sunny,2283.239609108064,Summer
2023-04-25,ST4,P89,24,1743.1193899330306,0.13856835217660968,1,Sunny,1295.2486142411974,Spring
2023-02-20,ST12,P13,32,2005.6728217903833,0.07278140447469075,0,Cloudy,1246.5475284797183,Winter
2022-11-22,ST19,P17,25,387.3443550026666,0.35447714228623717,0,Rainy,3699.9540767062526,Fall
2022-12-21,ST9,P14,33,1406.8389890135,0.002763498576075829,1,Snowy,4140.986405838734,Winter
2022-06-20,ST7,P15,25,1158.1771950939199,0.16307761160090095,1,Snowy,2734.292515068488,Summer
2023-05-03,ST2,P72,22,450.92376816249066,0.04481984089300731,1,Sunny,5685.2598476866315,Spring
2023-07-09,ST3,P92,29,1821.0455825253453,0.3261704494890233,0,Rainy,4566.089551332165,Summer
2022-09-17,ST9,P34,41,4767.626694653714,0.31221448960902876,1,Sunny,2342.80716333318,Fall
2023-10-04,ST5,P83,30,584.3543885297169,0.21203694596212042,0,Cloudy,1859.9753286607297,Fall
2023-12-02,ST19,P60,29,1680.1815833462222,0.08834832770073381,1,Snowy,3532.5889881354833,Winter
2023-05-16,ST9,P50,31,1722.2840418197864,0.3392737458527417,1,Sunny,3692.3007800105843,Spring
2023-06-09,ST12,P40,29,3006.935684670939,0.3349828035119923,0,Sunny,4024.649542475646,Summer
2022-08-05,ST17,P41,25,1097.9669252576186,0.31451957993415447,1,Snowy,5948.309011190998,Summer
2022-02-24,ST18,P15,32,3060.5770675291806,0.22318130243141265,0,Snowy,2238.187270368685,Winter
2023-01-16,ST7,P46,24,1129.120107508228,0.20748644189611876,0,Snowy,3752.3001445831865,Winter
2022-12-08,ST16,P80,26,2290.3033887939287,0.3281974084593657,1,Snowy,3478.1809586099234,Winter
2023-06-25,ST18,P32,25,2158.955008342063,0.18966308463755932,0,Cloudy,4979.833936998425,Summer
2023-12-15,ST1,P93,27,3017.098935396721,0.06258955320323696,1,Cloudy,5701.738087579158,Winter
2023-06-27,ST14,P41,28,1893.2647768293036,0.21943794772108097,0,Cloudy,3429.133403235548,Summer
2022-07-12,ST4,P47,31,1830.4802972716695,0.22797389893271297,1,Snowy,4921.4817963491405,Summer
2023-11-26,ST14,P61,30,1735.1558655081424,0.06183744078141671,0,Sunny,2553.9882560645337,Fall
2022-03-24,ST14,P91,22,2619.774717936445,0.09000555025926747,0,Rainy,1566.1393297232155,Spring
2022-08-23,ST14,P61,23,1906.761159707526,0.06415793937380335,1,Sunny,4665.760287573756,Summer
2023-02-01,ST18,P54,31,2217.044665359217,0.13348547840744845,0,Cloudy,5999.044017922868,Winter
2023-04-11,ST4,P98,29,2386.1289657095613,0.06514757429580564,0,Sunny,747.3790190446343,Spring
2023-11-07,ST18,P57,18,573.5576610150347,0.3197235812233895,0,Rainy,2748.161226295776,Fall
2023-10-03,ST8,P74,26,1471.0326128089325,0.2891120733810317,1,Rainy,3249.1255545767067,Fall
2023-08-04,ST7,P10,25,882.1910537838722,0.12266490196764473,1,Cloudy,4764.219981357852,Summer
2022-05-17,ST9,P50,27,842.907921350887,0.20170154675706106,1,Cloudy,5703.798619167135,Spring
2022-09-13,ST4,P62,42,4361.151359913617,0.11310697372134744,0,Sunny,4986.653600032826,Fall
2023-01-10,ST4,P26,36,1040.1478400028773,0.22293622055460657,0,Rainy,1314.254790675102,Winter
2022-10-07,ST9,P40,21,1705.8755933552584,0.35107136199592937,1,Snowy,2062.241531610527,Fall
2023-03-17,ST19,P80,26,1095.2025439098911,0.004672153711493321,0,Snowy,5243.169755432571,Spring
2023-04-04,ST2,P99,29,1892.3295943202304,0.06438467683533382,1,Cloudy,4412.685620248734,Spring
2023-02-18,ST18,P45,34,1985.7884257180635,0.15392845965991678,0,Rainy,5242.110236386527,Winter
2023-07-31,ST3,P19,33,1989.5518275781442,0.23452699720353973,0,Snowy,848.3083120260692,Summer
2022-11-17,ST11,P97,28,1963.4283127789074,0.3324800956373948,1,Snowy,468.17314677135073,Fall
